ct,open,high,low,close,volume,cumulative_delta,vah,val,poc_vol
2026-06-05 13:55:00,7476.5,7487.75,7473.5,7477.25,273,-45,0,0,0
2026-06-08 08:30:00,7444,7448.75,7441.25,7441.75,11494,-8180,0,0,0
2026-06-08 08:35:00,7441.75,7446.75,7437.25,7439.75,13740,-6195,0,0,0
2026-06-08 08:40:00,7439.75,7445.75,7438,7443.5,11493,-6533,0,0,0
2026-06-08 08:45:00,7450.5,7458.75,7444,7448.75,24998,-5246,7449.25,7437.75,417
2026-06-08 08:50:00,7449,7460.5,7442.25,7455.25,20831,-11055,7455,7442.25,282
2026-06-08 08:55:00,7455.25,7456.75,7431,7431.5,29617,-11169,7449,7431,285
2026-06-08 09:00:00,7431.5,7446.75,7429,7435,32550,-9253,7441.5,7429,452
2026-06-08 09:05:00,7434.75,7448.5,7433.5,7446.25,22406,-9811,7441.5,7429,452
2026-06-08 09:10:00,7446.25,7447.75,7437,7439.5,19748,-10633,7444.5,7437,449
2026-06-08 09:15:00,7439.5,7441.25,7431.5,7438.75,18580,-9256,7444.5,7437,449
2026-06-08 09:20:00,7438.75,7446.75,7434.5,7444.5,18229,-8084,7438.25,7431.5,465
2026-06-08 09:25:00,7444.5,7453.25,7442.25,7447.75,21440,-6589,7443,7434.5,365
2026-06-08 09:30:00,7447.75,7452.5,7445.75,7451.5,12971,-4849,7450,7442.25,476
2026-06-08 09:35:00,7451.75,7459.5,7450,7455.25,19462,-7757,7450.5,7445.75,463
2026-06-08 09:35:14,7450,7451,7449,7450.5,500,0,7456.75,7450,499
2026-06-08 09:40:00,7455.25,7458,7442,7448.5,21828,-5041,7453.25,7442,336
2026-06-08 09:45:00,7448.25,7466.25,7448.25,7458.5,26062,-3887,7453.25,7442,336
2026-06-08 09:50:00,7458.75,7466.5,7456,7463.75,14896,-992,7463.5,7456,346
2026-06-08 09:55:00,7464,7473.5,7459.25,7473.25,15133,-1100,7463.5,7456,346
2026-06-08 10:00:00,7473.25,7476.25,7469,7469.25,15628,163,7474,7469,521
2026-06-08 10:05:00,7469.25,7476.75,7468.5,7474.25,11329,-1286,7474,7469,521
2026-06-08 10:10:00,7474.5,7475.25,7469.75,7470.5,8155,-2509,0,0,0
2026-06-08 10:15:00,7470.75,7474.75,7467,7471.5,16539,-2874,0,0,0
2026-06-08 10:20:00,7471.5,7473.75,7464,7472.25,14511,-7558,0,0,0
2026-06-08 10:25:00,7472.25,7472.25,7453.75,7455.25,18908,-10721,7466.75,7453.75,252
2026-06-08 10:30:00,7455.25,7456.5,7440.75,7444,27301,-8686,7451.75,7440.75,427
2026-06-08 10:35:00,7444,7458.75,7441.25,7457.25,18089,-9384,7451.75,7440.75,427
2026-06-08 10:40:00,7457.25,7461.75,7453.75,7459.75,13414,-9388,7453.5,7441.25,255
2026-06-08 10:45:00,7459.75,7466,7455.25,7456.25,16018,-9153,7459.5,7453.75,406
2026-06-08 10:50:00,7456,7464.25,7456,7458,10931,-11331,7461.75,7456,322
2026-06-08 10:55:00,7458,7458,7447.25,7449.75,14974,-10942,7454.75,7447.25,340
2026-06-08 11:00:00,7450,7455.25,7444,7451,13709,-11310,7454.75,7447.25,340
2026-06-08 11:05:00,7450.75,7454.75,7447,7449,10566,-10547,0,0,0
2026-06-08 11:10:00,7448.75,7455,7445.75,7453,8847,-9685,0,0,0
2026-06-08 11:15:00,7453.25,7459.75,7452.5,7459.25,8428,862,0,0,0
2026-06-08 11:20:00,7459.25,7462.25,7450.75,7452.5,14654,-12257,0,0,0
2026-06-08 11:25:00,7452.75,7457,7443.25,7443.75,10912,-12837,0,0,0
2026-06-08 11:30:00,7444,7448.75,7441.25,7441.75,11494,-580,0,0,0
2026-06-08 11:35:00,7441.75,7446.75,7437.25,7439.75,13740,-14334,7446.5,7441.25,371
2026-06-08 11:40:00,7439.75,7445.75,7438,7443.5,11493,-14131,7443.5,7438,359
2026-06-08 11:45:00,7443.5,7452.25,7442.25,7447,11073,-14322,7443.5,7438,359
2026-06-08 11:50:00,7447.25,7449.5,7444.5,7446.25,8217,-15045,7448,7444.5,391
2026-06-08 11:55:00,7446.25,7447.25,7441,7441.5,7661,-18793,7445.5,7441,295
2026-06-08 12:00:00,7441.5,7442,7425.5,7429.75,21266,-18671,7437,7425.5,317
2026-06-08 12:05:00,7429.75,7437.25,7428,7430.75,13800,-19000,7437,7425.5,317
2026-06-08 12:06:24,7446,7447,7445,7446.5,500,0,7429.5,7423,407
2026-06-08 12:10:00,7430.75,7432.25,7423,7431.5,15453,-20162,7430.75,7423,323
2026-06-08 12:15:00,7431.25,7434,7423,7426,14536,-20064,7428.75,7423.25,321
2026-06-08 12:20:00,7426,7431,7423.25,7427,10286,-17996,7437.75,7425.75,243
2026-06-08 12:25:00,7427,7443,7425.75,7442.75,16994,-19310,7442.25,7432.25,308
2026-06-08 12:30:00,7442.25,7446.5,7432.25,7438.25,17846,-20277,7442.25,7432.25,308
2026-06-08 12:35:00,7438.25,7439.5,7427.75,7434.25,13039,-21258,7432.75,7426,253
2026-06-08 12:40:00,7434,7435.75,7426,7426.25,10105,-981,0,0,0
2026-06-08 12:45:00,7426.5,7436.5,7426.25,7436.25,11327,203,0,0,0
2026-06-08 12:50:00,7436.25,7439.75,7432,7437.25,9318,-44,0,0,0
2026-06-08 12:55:00,7437.25,7438,7431.25,7433.75,8250,-21025,7436,7431.25,295
2026-06-08 13:00:00,7433.75,7441.75,7433.5,7438.5,10890,-21081,7453.25,7450,75
2026-06-08 13:05:00,7438.5,7445.75,7438.25,7441.25,10148,-22335,7453.25,7450,75
2026-06-08 13:10:00,7442,7443.5,7432.75,7435,11542,-21766,7452.25,7449.25,56
2026-06-08 13:15:00,7435,7440.5,7434.75,7438.25,6935,-21636,7451.5,7448.75,68
2026-06-08 13:20:00,7438.5,7441.5,7435,7440,6358,-21573,7451.5,7448.75,68
2026-06-08 13:25:00,7439.75,7443.5,7438,7442,5993,-21628,7449.75,7447,58
2026-06-08 13:30:00,7442.25,7447.25,7440,7440.25,8909,-23267,7449.75,7447,58
2026-06-08 13:35:00,7440.25,7443.5,7431,7432,9843,-23934,7447,7444.75,48
2026-06-08 13:40:00,7432,7436,7430.25,7431.5,9943,-24286,7448.75,7446.25,81
2026-06-08 13:45:00,7431.5,7438,7431.25,7432.5,8040,-24272,7448.75,7446.25,81
2026-06-08 13:50:00,7432.75,7436.25,7431.25,7435,5564,-24750,7449.5,7446.25,93
2026-06-08 13:55:00,7435.25,7437.75,7431,7431.75,5828,-24629,7449,7445.5,54
2026-06-08 14:00:00,7432,7434.25,7427.25,7432,9851,-26560,7449,7445.5,54
2026-06-08 14:05:00,7432,7434,7424.25,7424.25,8553,-28812,7444.5,7443,176
2026-06-08 14:10:00,7424,7424.5,7414.75,7414.75,18810,-29589,7444.5,7443,176
2026-06-08 14:15:00,7415,7418.5,7411.5,7414.5,14875,-31394,7446.75,7443.75,104
2026-06-08 14:20:00,7414.5,7419.25,7406.25,7407.25,16631,-30762,7446.25,7443,68
2026-06-08 14:25:00,7407.25,7414.75,7403.75,7414.5,14676,-30561,7444,7442.25,138
2026-06-08 14:30:00,7414.5,7424.25,7413.5,7417,19109,-29971,7444.25,7441.5,91
2026-06-08 14:35:00,7417.25,7421.5,7413,7416.25,13088,-29225,7444.25,7441.5,91
2026-06-08 14:40:00,7416,7420,7411.25,7416,13472,-28341,7450.5,7443.5,87
2026-06-08 14:45:00,7415.75,7421.75,7413.5,7415.5,10620,-27805,7450.5,7443.5,87
2026-06-08 14:50:00,7415.75,7422.25,7410.5,7414.75,20624,-29011,7451.25,7448.5,110
2026-06-08 14:55:00,7415,7418.25,7411.75,7415.5,24052,-29469,7451.25,7448.5,110
2026-06-08 15:00:00,7416,7418.75,7411.25,7417.5,7416,-29752,7448.75,7446.25,125
2026-06-09 08:30:00,7458.5,7463.75,7454.5,7458.25,24875,138,7466.5,7456.75,440
2026-06-09 08:35:00,7458.5,7470.75,7456.75,7466,25094,198,7471.75,7463.25,416
2026-06-09 08:40:00,7466,7475.5,7463.25,7475.25,20793,293,7471.75,7463.25,416
2026-06-09 08:45:00,7475,7491,7474,7489.75,29948,239,7485,7473,423
2026-06-09 08:50:00,7489.5,7490,7473,7473.75,29179,198,7473,7464,538
2026-06-09 08:55:00,7473.5,7476.75,7464,7465.5,27968,164,7473,7464,538
2026-06-09 09:00:00,7465.5,7472.5,7459.5,7462.75,29063,180,7468.75,7459.5,548
2026-06-09 09:05:00,7525.25,7531.25,7524.25,7525.5,62,89,0,0,0
2026-06-09 09:10:00,7522.75,7522.75,7498.25,7500,257,57,0,0,0
2026-06-09 09:15:00,7498.25,7502.5,7478,7485,404,114,0,0,0
2026-06-09 09:20:00,7422.75,7441.75,7415.5,7441,40111,47,7439.25,7429.5,549
2026-06-09 09:25:00,7440.75,7443.5,7429.5,7433.25,31290,37,7439.25,7429.5,549
2026-06-09 09:30:00,7433.25,7439,7425,7433.5,30325,57,7434,7426,514
2026-06-09 09:35:00,7433.5,7437.25,7426,7430.75,23634,-23,7434,7426,514
2026-06-09 09:40:00,7430.75,7434.25,7405.5,7407.75,30956,84,7399,7371.75,422
2026-06-09 09:45:00,7407.75,7410.5,7371.75,7374,65825,56,7381.75,7367.75,645
2026-06-09 09:50:00,7374,7387.5,7367.75,7387.25,51564,94,7393.5,7379.5,386
2026-06-09 09:55:00,7387.25,7399.5,7379.5,7399,31294,121,7393.5,7379.5,386
2026-06-09 10:00:00,7399.25,7402.75,7390.75,7391.25,28411,95,7399.25,7390.75,580
2026-06-09 10:05:00,7391.5,7401.5,7384.25,7400.75,25849,99,7396.25,7384.25,369
2026-06-09 10:10:00,7401,7405.5,7390,7396.5,22136,85,7401,7390,351
2026-06-09 10:15:00,7396.75,7399,7383.25,7384,20814,25,7394.25,7383.25,325
2026-06-09 10:20:00,7383.75,7388.5,7362.25,7362.5,29842,-185,7353,7329.25,357
2026-06-09 10:25:00,7362.75,7363.25,7329.25,7331.5,48893,-73,7335.5,7326,830
2026-06-09 10:30:00,7331.75,7339.5,7326,7334,45675,-33,0,0,0
2026-06-09 10:35:00,7334.25,7339.25,7327,7336,34203,-30,0,0,0
2026-06-09 10:40:00,7336,7346.25,7333.75,7339.5,28420,-24,0,0,0
2026-06-09 10:45:00,7339.75,7343.75,7337.25,7341.25,17268,-23,7341.75,7337.25,640
2026-06-09 10:50:00,7341,7349,7331.75,7333,25593,-12,7327.5,7311,406
2026-06-09 10:55:00,7332.75,7334.5,7311,7312.5,38613,68,0,0,0
2026-06-09 11:00:00,7312.5,7327.25,7311,7317.75,36996,108,0,0,0
2026-06-09 11:05:00,7317.5,7319,7299.25,7304.75,34615,165,0,0,0
2026-06-09 11:10:00,7304.5,7315,7299.5,7307,28767,169,7310.5,7299.5,457
2026-06-09 11:15:00,7307,7307.25,7278.75,7281,41049,360,7298.75,7278.75,357
2026-06-09 11:20:00,7281.25,7296.75,7274.5,7296.25,41586,428,7290,7274.5,462
2026-06-09 11:25:00,7296,7303,7290.25,7295,26538,492,7301,7285,363
2026-06-09 11:30:00,7295,7307.75,7285,7294.25,33373,340,7301,7285,363
2026-06-09 11:35:00,7294.5,7305.5,7250.5,7254.75,43701,332,7285.25,7250.5,219
2026-06-09 11:40:00,7255.5,7271,7247,7268,40279,331,7274,7262.5,425
2026-06-09 11:45:00,7268,7278.75,7262.5,7270,28036,404,7274,7262.5,425
2026-06-09 11:50:00,7270,7276.25,7257.5,7258.25,23858,490,7270.75,7257.5,314
2026-06-09 11:55:00,7258.25,7288.25,7257,7287.25,23421,553,7301.5,7285.25,273
2026-06-09 12:00:00,7287.5,7308.25,7285.25,7305.5,25360,556,7301.5,7285.25,273
2026-06-09 12:05:00,7305.25,7309.75,7296.75,7304,17023,602,7306,7296.75,321
2026-06-09 12:10:00,7303.75,7312,7293,7307,18558,630,7315.5,7300.5,215
2026-06-09 12:15:00,7307,7322,7300.5,7320.5,18663,655,7315.5,7300.5,215
2026-06-09 12:20:00,7320.25,7334.5,7316.5,7326,26046,654,7329.25,7316.5,357
2026-06-09 12:25:00,7326,7334,7320.25,7329,15096,674,7334.25,7323.25,259
2026-06-09 12:30:00,7328.75,7338.75,7323.25,7338.5,16287,680,7334.25,7323.25,259
2026-06-09 12:35:00,7338.5,7347.25,7331.5,7342.5,16198,713,7342.5,7331.5,253
2026-06-09 12:40:00,7342.75,7361,7340.5,7351,17900,684,7355,7340.5,216
2026-06-09 12:45:00,7351.25,7353.75,7331,7333.5,20516,734,7347.25,7333.25,217
2026-06-09 12:50:00,7333.5,7353.25,7333.25,7346.5,17551,745,7351,7345.25,330
2026-06-09 12:55:00,7408,7413.75,7407.75,7407.75,47,752,0,0,0
2026-06-09 13:00:00,7407.75,7415,7403.75,7407.25,99,789,0,0,0
2026-06-09 13:05:00,7409,7420,7406.5,7419,61,803,0,0,0
2026-06-09 13:10:00,7416.25,7417.25,7408.5,7417.25,62,832,0,0,0
2026-06-09 13:15:00,7414,7428,7408.75,7427.75,149,29,0,0,0
2026-06-09 13:20:00,7428.25,7434.5,7420.25,7433,123,-5,0,0,0
2026-06-09 13:25:00,7433.5,7434.25,7423.25,7434,148,32,0,0,0
2026-06-09 13:30:00,7373,7384,7370.5,7378.75,15788,-28199,7318.75,7307,118
2026-06-09 13:35:00,7378.75,7384.75,7375.75,7381.25,8686,-30867,7325.5,7319.75,133
2026-06-09 13:40:00,7381.75,7382,7364.75,7366,13970,-29867,7325.5,7319.75,133
2026-06-09 13:45:00,7366.25,7377.25,7365,7377.25,10754,-29714,7328.5,7321,70
2026-06-09 13:50:00,7377.25,7384,7373,7378.5,8699,-28614,7330.25,7320.5,87
2026-06-09 13:55:00,7378.5,7393.5,7377.75,7389.5,11798,-28334,7325.5,7319.75,133
2026-06-09 14:00:00,7389.5,7396.25,7383,7395,11442,-29230,7330.25,7320.5,87
